2018-12-31,0,EMBR,COLM,2
2018-12-31,0,EMBR,COLS,6
2018-12-31,0,EMBR,CONC,7
2018-12-31,0,EMBR,DALY,4
2018-12-31,0,EMBR,DBRK,3
2018-12-31,0,EMBR,DELN,5
2018-12-31,0,EMBR,DUBL,8
2018-12-31,0,EMBR,EMBR,5
2018-12-31,0,EMBR,FRMT,1
2018-12-31,0,EMBR,FTVL,6
2018-12-31,0,EMBR,MCAR,5
2018-12-31,0,EMBR,MLBR,2
2018-12-31,0,EMBR,NBRK,2
2018-12-31,0,EMBR,ORIN,1
2018-12-31,0,EMBR,PHIL,7
2018-12-31,0,EMBR,PITT,6
2018-12-31,0,EMBR,PLZA,1
2018-12-31,0,EMBR,POWL,1
2018-12-31,0,EMBR,RICH,2
2018-12-31,0,EMBR,ROCK,3
2018-12-31,0,EMBR,SANL,3
2018-12-31,0,EMBR,SBRN,1
2018-12-31,0,EMBR,SFIA,1
2018-12-31,0,EMBR,SHAY,2
2018-12-31,0,EMBR,SSAN,2
2018-12-31,0,EMBR,UCTY,3
2018-12-31,0,EMBR,WDUB,1
2018-12-31,0,EMBR,WOAK,9
2018-12-31,0,EMBR,WSPR,2
2018-12-31,0,FRMT,24TH,1
2018-12-31,0,FRMT,COLS,1
2018-12-31,0,FRMT,CONC,1
2018-12-31,0,FRMT,FTVL,1
2018-12-31,0,FRMT,SANL,1
2018-12-31,0,FRMT,WSPR,1
2018-12-31,0,FTVL,24TH,1
2018-12-31,0,FTVL,BAYF,1
2018-12-31,0,FTVL,CAST,1
2018-12-31,0,FTVL,DELN,2
2018-12-31,0,FTVL,PITT,1
2018-12-31,0,FTVL,POWL,3
2018-12-31,0,FTVL,SFIA,2
2018-12-31,0,FTVL,SHAY,1
2018-12-31,0,GLEN,CIVC,2
2018-12-31,0,GLEN,FRMT,1
2018-12-31,0,GLEN,GLEN,1
2018-12-31,0,GLEN,HAYW,1
2018-12-31,0,GLEN,LAKE,2
2018-12-31,0,HAYW,COLS,1
2018-12-31,0,HAYW,FRMT,1
2018-12-31,0,HAYW,FTVL,2
2018-12-31,0,HAYW,PLZA,1
2018-12-31,0,LAFY,CIVC,1
2018-12-31,0,LAFY,PHIL,2
2018-12-31,0,LAFY,PITT,1
2018-12-31,0,LAFY,PLZA,2
2018-12-31,0,LAKE,16TH,2
2018-12-31,0,LAKE,CAST,1
2018-12-31,0,LAKE,DUBL,1
2018-12-31,0,LAKE,EMBR,2
2018-12-31,0,LAKE,FRMT,1
2018-12-31,0,LAKE,FTVL,1
2018-12-31,0,LAKE,GLEN,1
2018-12-31,0,LAKE,LAKE,1
2018-12-31,0,LAKE,MCAR,1
2018-12-31,0,LAKE,SANL,1
2018-12-31,0,LAKE,SFIA,1
2018-12-31,0,LAKE,WDUB,1
2018-12-31,0,LAKE,WOAK,1
2018-12-31,0,MCAR,12TH,1
2018-12-31,0,MCAR,24TH,2
2018-12-31,0,MCAR,BALB,1
2018-12-31,0,MCAR,BAYF,1
2018-12-31,0,MCAR,CIVC,3
2018-12-31,0,MCAR,EMBR,3
2018-12-31,0,MCAR,FRMT,2
2018-12-31,0,MCAR,FTVL,1
2018-12-31,0,MCAR,NBRK,1
2018-12-31,0,MCAR,PITT,1
2018-12-31,0,MCAR,POWL,1
2018-12-31,0,MCAR,RICH,3
2018-12-31,0,MCAR,SBRN,2
2018-12-31,0,MCAR,SFIA,1
2018-12-31,0,MCAR,SSAN,2
2018-12-31,0,MLBR,24TH,1
2018-12-31,0,MLBR,BALB,2
2018-12-31,0,MLBR,COLM,1
2018-12-31,0,MLBR,DALY,1
2018-12-31,0,MLBR,GLEN,1
2018-12-31,0,MLBR,MCAR,1
2018-12-31,0,MLBR,MONT,2
2018-12-31,0,MLBR,POWL,1
2018-12-31,0,MLBR,WCRK,1
2018-12-31,0,MLBR,WDUB,1
2018-12-31,0,MONT,12TH,4
2018-12-31,0,MONT,16TH,1
2018-12-31,0,MONT,19TH,3
2018-12-31,0,MONT,24TH,7
2018-12-31,0,MONT,ANTI,5
2018-12-31,0,MONT,ASHB,2
2018-12-31,0,MONT,BALB,8
2018-12-31,0,MONT,BAYF,2
2018-12-31,0,MONT,CAST,4
2018-12-31,0,MONT,COLM,3
2018-12-31,0,MONT,COLS,4
2018-12-31,0,MONT,CONC,1
2018-12-31,0,MONT,DALY,7
2018-12-31,0,MONT,DBRK,2
2018-12-31,0,MONT,DELN,3
2018-12-31,0,MONT,FRMT,5
2018-12-31,0,MONT,FTVL,4
2018-12-31,0,MONT,GLEN,1
2018-12-31,0,MONT,HAYW,2
2018-12-31,0,MONT,LAFY,2
2018-12-31,0,MONT,LAKE,3
2018-12-31,0,MONT,MCAR,6
2018-12-31,0,MONT,MLBR,1
2018-12-31,0,MONT,NBRK,2
2018-12-31,0,MONT,ORIN,3
2018-12-31,0,MONT,PHIL,4
2018-12-31,0,MONT,PITT,4
2018-12-31,0,MONT,PLZA,4
2018-12-31,0,MONT,ROCK,5
2018-12-31,0,MONT,SANL,4
2018-12-31,0,MONT,SBRN,1
2018-12-31,0,MONT,SHAY,1
2018-12-31,0,MONT,UCTY,1
2018-12-31,0,MONT,WCRK,1
2018-12-31,0,MONT,WOAK,8
2018-12-31,0,MONT,WSPR,4
2018-12-31,0,NBRK,ANTI,1
2018-12-31,0,NBRK,COLS,1
2018-12-31,0,NBRK,CONC,1
2018-12-31,0,NBRK,DELN,2
2018-12-31,0,NBRK,LAKE,1
2018-12-31,0,NBRK,MCAR,1
2018-12-31,0,NCON,EMBR,1
2018-12-31,0,NCON,POWL,1
2018-12-31,0,NCON,SSAN,2
2018-12-31,0,OAKL,16TH,1
2018-12-31,0,OAKL,24TH,2
2018-12-31,0,OAKL,ANTI,1
2018-12-31,0,OAKL,COLS,1
2018-12-31,0,OAKL,DBRK,2
2018-12-31,0,OAKL,DELN,2
2018-12-31,0,OAKL,DUBL,1
2018-12-31,0,OAKL,EMBR,2
2018-12-31,0,OAKL,GLEN,1
2018-12-31,0,OAKL,MLBR,1
2018-12-31,0,OAKL,MONT,1
2018-12-31,0,OAKL,ORIN,1
2018-12-31,0,OAKL,PHIL,5
2018-12-31,0,OAKL,RICH,1
2018-12-31,0,OAKL,WCRK,3
2018-12-31,0,OAKL,WSPR,1
2018-12-31,0,ORIN,EMBR,1
2018-12-31,0,ORIN,PITT,1
2018-12-31,0,PHIL,24TH,1
2018-12-31,0,PHIL,ANTI,2
2018-12-31,0,PHIL,FTVL,1
2018-12-31,0,PHIL,MCAR,1
2018-12-31,0,PHIL,PITT,1
2018-12-31,0,PITT,BAYF,1
2018-12-31,0,PITT,NBRK,1
2018-12-31,0,PITT,PLZA,1
2018-12-31,0,PITT,POWL,2
2018-12-31,0,PITT,SANL,1
2018-12-31,0,PITT,SBRN,1
2018-12-31,0,PITT,SFIA,1
2018-12-31,0,PITT,UCTY,1
2018-12-31,0,PLZA,12TH,1
2018-12-31,0,PLZA,24TH,2
2018-12-31,0,PLZA,BAYF,1
2018-12-31,0,PLZA,DBRK,1
2018-12-31,0,PLZA,MCAR,1
2018-12-31,0,POWL,12TH,4
2018-12-31,0,POWL,16TH,5
2018-12-31,0,POWL,19TH,6
2018-12-31,0,POWL,24TH,6
2018-12-31,0,POWL,ANTI,11
2018-12-31,0,POWL,ASHB,2
2018-12-31,0,POWL,BALB,13
2018-12-31,0,POWL,BAYF,15
2018-12-31,0,POWL,CAST,3
2018-12-31,0,POWL,CIVC,1
2018-12-31,0,POWL,COLM,8
2018-12-31,0,POWL,COLS,2
2018-12-31,0,POWL,CONC,9
2018-12-31,0,POWL,DALY,22
2018-12-31,0,POWL,DBRK,3
2018-12-31,0,POWL,DELN,2
2018-12-31,0,POWL,DUBL,14
2018-12-31,0,POWL,EMBR,2
2018-12-31,0,POWL,FRMT,6
2018-12-31,0,POWL,FTVL,21
2018-12-31,0,POWL,GLEN,8
2018-12-31,0,POWL,HAYW,3
2018-12-31,0,POWL,LAFY,3
2018-12-31,0,POWL,LAKE,6
2018-12-31,0,POWL,MCAR,8
2018-12-31,0,POWL,MLBR,3
2018-12-31,0,POWL,NBRK,3
2018-12-31,0,POWL,NCON,1
2018-12-31,0,POWL,ORIN,3
2018-12-31,0,POWL,PHIL,6
2018-12-31,0,POWL,PITT,8
2018-12-31,0,POWL,PLZA,5
2018-12-31,0,POWL,RICH,1
2018-12-31,0,POWL,ROCK,3
2018-12-31,0,POWL,SANL,16
2018-12-31,0,POWL,SBRN,2
2018-12-31,0,POWL,SFIA,1
2018-12-31,0,POWL,SHAY,2
2018-12-31,0,POWL,SSAN,6
2018-12-31,0,POWL,UCTY,4
2018-12-31,0,POWL,WCRK,4
2018-12-31,0,POWL,WDUB,1
2018-12-31,0,POWL,WOAK,15
2018-12-31,0,POWL,WSPR,3
2018-12-31,0,RICH,COLS,2
2018-12-31,0,RICH,DALY,1
2018-12-31,0,RICH,MCAR,1
2018-12-31,0,RICH,PITT,1
2018-12-31,0,ROCK,ANTI,2
2018-12-31,0,ROCK,EMBR,1
2018-12-31,0,ROCK,LAKE,1
2018-12-31,0,ROCK,SSAN,1
2018-12-31,0,ROCK,WCRK,1
2018-12-31,0,SANL,12TH,2
2018-12-31,0,SANL,ANTI,1
2018-12-31,0,SANL,ASHB,2
2018-12-31,0,SANL,BAYF,3
2018-12-31,0,SANL,DALY,1
2018-12-31,0,SANL,EMBR,2
2018-12-31,0,SANL,FRMT,1
2018-12-31,0,SANL,FTVL,1
2018-12-31,0,SANL,LAKE,2
